위메이드플레이,123420,2023.01.30,0.01,0.07
위메이드플레이,123420,2023.01.27,0.01,0.04
위메이드플레이,123420,2023.01.26,0.01,0.02
위메이드플레이,123420,2023.01.25,0.03,0.02
위메이드플레이,123420,2023.01.20,0.01,0.01
위메이드플레이,123420,2023.01.19,0.02,0.02
위메이드플레이,123420,2023.01.18,0.02,0.05
위메이드플레이,123420,2023.01.17,0.03,0.04
위메이드플레이,123420,2023.01.16,0.03,0.09
위메이드플레이,123420,2023.01.13,0.02,0.02
위메이드플레이,123420,2023.01.12,0.01,0.02
위메이드플레이,123420,2023.01.11,0.01,0.03
위메이드플레이,123420,2023.01.09,0.01,0.03
위메이드플레이,123420,2023.01.06,0.03,0.03
위메이드플레이,123420,2023.01.05,0.02,0.02
위메이드플레이,123420,2023.01.04,0.02,0.05
위메이드플레이,123420,2023.01.03,0.02,0.05
위메이드플레이,123420,2023.01.02,0.03,0.06
위메이드플레이,123420,2022.12.29,0.15,0.25
위메이드플레이,123420,2022.12.28,0.07,0.04
위메이드플레이,123420,2022.12.27,0.03,0.04
위메이드플레이,123420,2022.12.26,0.03,0.04
위메이드플레이,123420,2022.12.23,0.05,0.04
위메이드플레이,123420,2022.12.22,0.04,0.03
위메이드플레이,123420,2022.12.21,0.05,0.05
위메이드플레이,123420,2022.12.20,0.06,0.07
위메이드플레이,123420,2022.12.19,0.04,0.04
위메이드플레이,123420,2022.12.16,0.09,0.05
위메이드플레이,123420,2022.12.15,0.12,0.06
위메이드플레이,123420,2022.12.14,0.2,0.16
위메이드플레이,123420,2022.12.13,0.13,0.11
위메이드플레이,123420,2022.12.12,0.22,0.18
위메이드플레이,123420,2022.12.09,0.29,0.5
위메이드플레이,123420,2022.12.08,0.82,0.37
위메이드플레이,123420,2022.12.07,0.54,0.21
위메이드플레이,123420,2022.12.06,0.11,0.06
위메이드플레이,123420,2022.12.05,0.21,0.18
위메이드플레이,123420,2022.12.02,0.42,0.85
위메이드플레이,123420,2022.12.01,0.27,0.38
위메이드플레이,123420,2022.11.30,0.16,0.15
위메이드플레이,123420,2022.11.29,0.24,0.35
위메이드플레이,123420,2022.11.28,0.54,0.34
위메이드플레이,123420,2022.11.25,1.0,1.0
