companyName,companyCode,companyDate,postsPerDay,volumePerDay
미투젠,950190,2023.01.30,0.01,0.0
미투젠,950190,2023.01.27,0.05,0.0
미투젠,950190,2023.01.26,0.02,0.0
미투젠,950190,2023.01.25,0.08,0.0
미투젠,950190,2023.01.19,0.03,0.0
미투젠,950190,2023.01.18,0.04,0.0
미투젠,950190,2023.01.17,0.01,0.01
미투젠,950190,2023.01.16,0.02,0.0
미투젠,950190,2023.01.13,0.03,0.0
미투젠,950190,2023.01.12,0.03,0.0
미투젠,950190,2023.01.11,0.03,0.0
미투젠,950190,2023.01.10,0.07,0.0
미투젠,950190,2023.01.09,0.05,0.0
미투젠,950190,2023.01.06,0.06,0.0
미투젠,950190,2023.01.05,0.03,0.0
미투젠,950190,2023.01.04,0.07,0.0
미투젠,950190,2023.01.03,0.02,0.01
미투젠,950190,2023.01.02,0.1,0.01
미투젠,950190,2022.12.29,0.25,0.02
미투젠,950190,2022.12.28,0.21,0.01
미투젠,950190,2022.12.27,0.02,0.01
미투젠,950190,2022.12.26,0.04,0.0
미투젠,950190,2022.12.23,0.05,0.0
미투젠,950190,2022.12.22,0.06,0.01
미투젠,950190,2022.12.21,0.09,0.01
미투젠,950190,2022.12.20,0.02,0.01
미투젠,950190,2022.12.19,0.02,0.0
미투젠,950190,2022.12.16,0.02,0.0
미투젠,950190,2022.12.15,0.02,0.0
미투젠,950190,2022.12.14,0.02,0.0
미투젠,950190,2022.12.13,0.0,0.0
미투젠,950190,2022.12.12,0.0,0.0
미투젠,950190,2022.12.09,0.01,0.0
미투젠,950190,2022.12.08,0.01,0.0
미투젠,950190,2022.12.07,0.04,0.0
미투젠,950190,2022.12.05,0.0,0.0
미투젠,950190,2022.12.02,0.0,0.0
미투젠,950190,2022.12.01,0.0,0.0
미투젠,950190,2022.11.28,0.0,0.0
미투젠,950190,2022.11.25,0.02,0.0
미투젠,950190,2022.11.24,0.02,0.0
미투젠,950190,2022.11.23,0.02,0.0
미투젠,950190,2022.11.22,0.0,0.0
미투젠,950190,2022.11.21,0.01,0.01
미투젠,950190,2022.11.18,0.04,0.0
미투젠,950190,2022.11.17,0.06,0.0
미투젠,950190,2022.11.16,0.02,0.0
미투젠,950190,2022.11.15,0.04,0.01
미투젠,950190,2022.11.14,0.02,0.01
미투젠,950190,2022.11.11,0.0,0.01
미투젠,950190,2022.11.10,0.01,0.01
미투젠,950190,2022.11.08,0.04,0.01
미투젠,950190,2022.11.07,0.0,0.0
미투젠,950190,2022.11.04,0.01,0.01
미투젠,950190,2022.11.03,0.01,0.0
미투젠,950190,2022.11.02,0.02,0.0
미투젠,950190,2022.11.01,0.04,0.0
미투젠,950190,2022.10.31,0.01,0.0
미투젠,950190,2022.10.28,0.0,0.0
미투젠,950190,2022.10.27,0.01,0.0
미투젠,950190,2022.10.26,0.01,0.0
미투젠,950190,2022.10.25,0.02,0.0
미투젠,950190,2022.10.24,0.01,0.0
미투젠,950190,2022.10.21,0.03,0.01
미투젠,950190,2022.10.20,0.02,0.0
미투젠,950190,2022.10.19,0.02,0.01
미투젠,950190,2022.10.18,0.02,0.0
미투젠,950190,2022.10.17,0.03,0.02
미투젠,950190,2022.10.14,0.04,0.01
미투젠,950190,2022.10.13,0.01,0.01
미투젠,950190,2022.10.12,0.02,0.0
미투젠,950190,2022.10.11,0.07,0.01
미투젠,950190,2022.10.07,0.02,0.01
미투젠,950190,2022.10.06,0.02,0.0
미투젠,950190,2022.10.05,0.01,0.0
미투젠,950190,2022.10.04,0.03,0.0
미투젠,950190,2022.09.30,0.02,0.0
미투젠,950190,2022.09.29,0.0,0.0
미투젠,950190,2022.09.28,0.02,0.01
미투젠,950190,2022.09.27,0.03,0.01
미투젠,950190,2022.09.26,0.02,0.02
미투젠,950190,2022.09.23,0.02,0.01
미투젠,950190,2022.09.22,0.03,0.01
미투젠,950190,2022.09.21,0.03,0.0
미투젠,950190,2022.09.20,0.04,0.0
미투젠,950190,2022.09.19,0.04,0.01
미투젠,950190,2022.09.16,0.0,0.0
미투젠,950190,2022.09.15,0.03,0.02
미투젠,950190,2022.09.14,0.0,0.01
미투젠,950190,2022.09.13,0.0,0.01
미투젠,950190,2022.09.08,0.03,0.01
미투젠,950190,2022.09.07,0.06,0.02
미투젠,950190,2022.09.06,0.09,0.02
미투젠,950190,2022.09.05,0.06,0.01
미투젠,950190,2022.09.02,0.02,0.01
미투젠,950190,2022.09.01,0.04,0.01
미투젠,950190,2022.08.31,0.02,0.01
미투젠,950190,2022.08.30,0.06,0.01
미투젠,950190,2022.08.29,0.08,0.02
미투젠,950190,2022.08.26,0.33,0.02
미투젠,950190,2022.08.25,0.26,0.03
미투젠,950190,2022.08.24,0.27,0.05
미투젠,950190,2022.08.23,0.2,0.06
미투젠,950190,2022.08.22,0.2,0.08
미투젠,950190,2022.08.19,0.64,0.14
미투젠,950190,2022.08.18,0.93,0.58
미투젠,950190,2022.08.17,1.0,1.0
미투젠,950190,2022.08.16,0.0,0.0
미투젠,950190,2022.08.12,0.02,0.0
미투젠,950190,2022.08.11,0.02,0.0
미투젠,950190,2022.08.10,0.0,0.0
미투젠,950190,2022.08.09,0.02,0.0
미투젠,950190,2022.08.05,0.0,0.0
미투젠,950190,2022.08.04,0.04,0.01
미투젠,950190,2022.08.03,0.02,0.0
미투젠,950190,2022.08.02,0.04,0.01
미투젠,950190,2022.08.01,0.05,0.01
미투젠,950190,2022.07.29,0.07,0.01
미투젠,950190,2022.07.28,0.13,0.03
미투젠,950190,2022.07.27,0.11,0.03
미투젠,950190,2022.07.26,0.02,0.01
미투젠,950190,2022.07.25,0.02,0.01
미투젠,950190,2022.07.22,0.0,0.01
미투젠,950190,2022.07.21,0.01,0.02
미투젠,950190,2022.07.20,0.06,0.02
미투젠,950190,2022.07.19,0.02,0.0
미투젠,950190,2022.07.18,0.02,0.0
미투젠,950190,2022.07.15,0.0,0.0
미투젠,950190,2022.07.14,0.01,0.01
미투젠,950190,2022.07.13,0.0,0.0
미투젠,950190,2022.07.12,0.02,0.01
미투젠,950190,2022.07.11,0.02,0.0
미투젠,950190,2022.07.08,0.02,0.0
미투젠,950190,2022.07.06,0.0,0.0
미투젠,950190,2022.07.05,0.0,0.0
미투젠,950190,2022.07.04,0.0,0.0
미투젠,950190,2022.07.01,0.02,0.01
미투젠,950190,2022.06.30,0.06,0.0
미투젠,950190,2022.06.29,0.07,0.01
미투젠,950190,2022.06.28,0.29,0.02
미투젠,950190,2022.06.27,0.02,0.03
미투젠,950190,2022.06.24,0.11,0.03
미투젠,950190,2022.06.23,0.33,0.16
