companyName,companyCode,companyDate,postsPerDay,volumePerDay
밸로프,331520,2023.01.30,0.08,0.03
밸로프,331520,2023.01.27,0.1,0.05
밸로프,331520,2023.01.26,0.05,0.04
밸로프,331520,2023.01.25,0.08,0.05
밸로프,331520,2023.01.20,0.06,0.09
밸로프,331520,2023.01.19,0.17,0.11
밸로프,331520,2023.01.18,1.0,1.0
밸로프,331520,2023.01.17,0.09,0.05
밸로프,331520,2023.01.16,0.23,0.24
밸로프,331520,2023.01.13,0.08,0.04
밸로프,331520,2023.01.12,0.19,0.08
밸로프,331520,2023.01.11,0.35,0.09
밸로프,331520,2023.01.10,0.78,0.65
밸로프,331520,2023.01.09,0.12,0.08
밸로프,331520,2023.01.06,0.22,0.05
밸로프,331520,2023.01.05,0.34,0.07
밸로프,331520,2023.01.04,0.55,0.38
밸로프,331520,2023.01.03,0.31,0.75
